,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
193,Jabari Smith Jr.,HOU,69,17,52,30.7,31.5,24.4,1.2,0.2,2.0,3.0,1.6,4.0,5.0,
194,Jabari Walker,POR,46,20,26,8.7,6.7,5.1,0.5,0.1,0.9,1.2,0.6,7.1,8.7,
195,Jack White,DEN,16,12,4,3.2,3.5,2.8,0.2,0.0,0.1,0.4,0.2,5.4,5.4,
196,Jaden Hardy,DAL,38,18,20,13.9,14.4,19.1,1.1,0.3,2.8,3.5,1.7,7.9,12.1,
197,Jaden Ivey,DET,64,15,49,30.4,35.4,45.2,4.9,0.3,9.0,12.8,5.8,13.9,16.4,
198,Jaden McDaniels,MIN,70,35,35,30.8,27.3,24.3,2.0,0.2,3.2,4.9,2.4,7.2,8.7,
199,Jaden Springer,PHI,10,10,0,4.0,2.1,2.6,0.4,0.0,0.4,1.0,0.4,19.0,19.0,
200,Jae Crowder,MIL,11,9,2,18.7,22.2,12.4,1.4,0.3,2.7,3.3,1.7,6.1,7.8,
201,Jae'Sean Tate,HOU,31,7,24,21.9,30.4,30.2,2.7,0.2,5.5,7.4,3.2,8.9,10.6,
202,Jake LaRavia,MEM,33,22,11,11.9,10.7,8.0,0.6,0.2,1.3,1.6,0.8,6.0,7.4,
203,Jakob Poeltl,TOR,61,20,41,26.7,41.4,29.3,2.9,0.3,4.5,7.2,3.4,7.0,8.2,
204,Jalen Brunson,NYK,64,37,27,34.9,58.9,70.8,6.2,0.8,11.6,16.3,7.6,10.5,12.9,
205,Jalen Duren,DET,57,15,42,24.7,26.8,14.0,1.1,0.1,1.7,2.9,1.4,4.2,5.0,
206,Jalen Green,HOU,66,16,50,34.1,39.9,53.2,3.5,0.6,6.5,9.0,4.6,8.9,11.6,
