,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
151,Duncan Robinson,MIA,28,31,25,29.3,0.7,1.8,38.2,51.8,6.9,0.2,0.4,45.2,22.3,0.5,1.4,35.6
152,Malachi Flynn,TOR,24,43,32,38.0,0.5,1.8,27.6,34.2,21.5,0.3,1.0,26.0,16.5,0.2,0.8,29.9
153,Austin Reaves,LAL,24,44,34,25.8,0.8,1.8,42.9,49.4,17.4,0.5,1.2,44.1,8.4,0.2,0.6,40.4
154,Jalen Williams,OKC,21,57,49,17.8,0.7,1.8,39.0,42.0,14.4,0.6,1.4,40.8,3.4,0.1,0.3,33.3
155,Jordan Goodwin,WAS,24,42,32,33.3,0.7,1.7,38.4,43.2,23.7,0.5,1.2,40.3,9.6,0.2,0.5,34.0
156,Marcus Smart,BOS,28,45,35,18.1,0.6,1.7,32.1,41.0,6.7,0.2,0.6,37.5,11.3,0.3,1.1,28.4
157,T.J. McConnell,IND,30,60,50,27.1,0.9,1.7,50.5,53.9,23.9,0.8,1.5,49.3,3.2,0.1,0.2,60.0
158,Bol Bol,ORL,23,57,44,23.8,0.6,1.7,35.7,40.8,16.3,0.4,1.2,37.3,7.5,0.2,0.5,33.3
159,Derrick White,BOS,28,62,50,18.9,0.7,1.7,43.4,52.8,9.1,0.4,0.8,51.2,9.8,0.3,0.9,36.0
160,Aaron Gordon,DEN,27,51,44,15.4,0.7,1.7,39.1,51.1,6.7,0.3,0.8,33.3,8.7,0.4,1.0,42.7
161,Isaiah Joe,OKC,23,53,41,27.7,0.8,1.7,47.2,59.6,10.0,0.4,0.6,63.3,17.8,0.4,1.1,38.9
162,Coby White,CHI,23,53,40,22.1,0.6,1.7,34.8,41.6,11.7,0.4,0.9,40.4,10.4,0.2,0.8,29.1
163,Bruce Brown,DEN,26,62,48,18.4,0.6,1.7,36.9,40.8,13.2,0.5,1.2,40.3,5.2,0.1,0.5,27.7
164,Doug McDermott,SAS,31,53,44,20.5,0.7,1.6,42.5,53.4,10.6,0.3,0.8,40.0,9.9,0.4,0.8,45.6
165,Patty Mills,BKN,34,36,23,34.1,0.7,1.6,40.7,46.6,23.1,0.5,1.1,42.3,11.0,0.2,0.5,35.8
166,Max Strus,MIA,26,60,43,15.1,0.5,1.6,29.9,40.7,3.6,0.1,0.4,34.2,11.5,0.3,1.2,28.5
167,Caleb Martin,MIA,27,52,41,19.3,0.7,1.6,45.8,54.8,11.6,0.4,1.0,45.8,7.7,0.3,0.6,46.0
168,Blake Wesley,SAS,19,17,17,33.3,0.4,1.6,25.9,27.8,29.6,0.3,1.4,24.8,3.7,0.1,0.2,33.3
169,Shake Milton,PHI,26,56,37,23.2,0.6,1.6,36.4,40.3,18.5,0.5,1.3,36.0,4.7,0.1,0.3,40.6
170,Davion Mitchell,SAC,24,60,48,31.2,0.5,1.6,34.0,40.4,16.9,0.3,0.8,38.8,14.3,0.2,0.7,27.8
171,Trevelin Queen,IND,26,7,7,37.9,0.1,1.6,9.1,13.6,3.4,0.0,0.1,0.0,34.5,0.1,1.4,9.8
172,Grayson Allen,MIL,27,57,41,20.2,0.5,1.6,33.7,47.8,4.5,0.1,0.3,25.7,15.7,0.4,1.2,36.4
173,Joe Ingles,MIL,35,28,24,28.3,0.7,1.5,44.2,62.8,3.3,0.1,0.2,61.1,25.0,0.6,1.4,41.9
174,Theo Maledon,CHA,21,36,29,35.5,0.5,1.5,32.7,37.3,17.4,0.4,0.8,48.0,18.1,0.1,0.8,17.9
175,Nickeil Alexander-Walker,MIN,24,41,31,31.2,0.7,1.5,43.5,54.8,14.1,0.3,0.7,47.1,17.1,0.3,0.8,41.0
176,Evan Mobley,CLE,21,62,46,12.6,0.7,1.5,43.0,43.5,12.5,0.6,1.5,42.6,0.1,0.0,0.0,100
177,Karl-Anthony Towns,MIN,27,21,17,10.2,0.6,1.5,38.7,46.8,6.6,0.3,0.9,34.7,3.6,0.2,0.5,46.2
178,Josh Christopher,HOU,21,43,30,33.7,0.6,1.5,38.1,42.9,22.5,0.4,1.0,42.9,11.2,0.1,0.5,28.6
179,Christian Wood,DAL,27,51,42,12.1,0.4,1.5,25.3,28.7,6.1,0.3,0.8,36.0,6.0,0.1,0.7,13.7
180,Terance Mann,LAC,26,63,46,21.6,0.7,1.4,45.1,54.4,11.4,0.4,0.8,50.0,10.2,0.3,0.7,39.7
181,Nassir Little,POR,23,40,23,27.9,0.7,1.4,47.4,57.0,17.2,0.4,0.9,45.5,10.8,0.3,0.6,50.9
182,Rudy Gay,UTA,36,47,36,29.3,0.5,1.4,37.3,39.6,24.0,0.5,1.2,40.2,5.2,0.1,0.3,23.1
183,Luguentz Dort,OKC,23,54,39,12.0,0.5,1.4,32.5,40.3,5.0,0.2,0.6,40.7,7.0,0.2,0.8,26.5
184,Cody Martin,CHA,27,7,5,27.8,0.1,1.4,10.0,10.0,13.9,0.1,0.7,19.7,13.9,0.0,0.7,0.0
185,Terence Davis,SAC,25,48,34,24.2,0.6,1.4,39.7,55.1,6.0,0.1,0.3,37.1,18.1,0.4,1.1,41.5
186,James Bouknight,CHA,22,26,18,30.8,0.5,1.4,33.3,44.4,11.1,0.1,0.5,30.0,19.7,0.3,0.9,35.2
