Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-02-05,6:00p,Philadelphia 76ers,,New York Knicks,,,,,Madison Square Garden (IV),
2023-02-05,7:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,Target Center,
2023-02-05,7:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-02-06,7:00p,Boston Celtics,,Detroit Pistons,,,,,Little Caesars Arena,
2023-02-06,7:00p,Cleveland Cavaliers,,Washington Wizards,,,,,Capital One Arena,
2023-02-06,7:30p,Los Angeles Clippers,,Brooklyn Nets,,,,,Barclays Center,
2023-02-06,8:00p,San Antonio Spurs,,Chicago Bulls,,,,,United Center,
2023-02-06,8:00p,Sacramento Kings,,Houston Rockets,,,,,Toyota Center,
2023-02-06,9:00p,Dallas Mavericks,,Utah Jazz,,,,,Vivint Arena,
2023-02-06,10:00p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,
2023-02-06,10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,,,Moda Center,
2023-02-07,7:00p,New York Knicks,,Orlando Magic,,,,,Amway Center,
2023-02-07,7:30p,Phoenix Suns,,Brooklyn Nets,,,,,Barclays Center,
2023-02-07,7:30p,Atlanta Hawks,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-02-07,8:00p,Chicago Bulls,,Memphis Grizzlies,,,,,FedEx Forum,
2023-02-07,10:00p,Minnesota Timberwolves,,Denver Nuggets,,,,,Ball Arena,
2023-02-07,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-02-08,7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-02-08,7:00p,Charlotte Hornets,,Washington Wizards,,,,,Capital One Arena,
2023-02-08,7:30p,Philadelphia 76ers,,Boston Celtics,,,,,TD Garden,
